metrics,query,galago,anserini,galago_best,anserini_best,abs_diff
Rprec,enwiki:Antibiotics/Classes,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Classes,0.0106,0.0312,-0.0206,0.0206,0.0206
P_20,enwiki:Antibiotics/Classes,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Classes,0.0,1.0,-1.0,1.0,1.0
ndcg_cut_20,enwiki:Antibiotics/Classes,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/History,0.0,0.0,0.0,0.0,0.0
Rprec,enwiki:Antibiotics/History,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/History,0.0,0.0,0.0,0.0,0.0
P_20,enwiki:Antibiotics/History,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/History,0.0,0.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/History,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/History/Etymology,0.0,0.0,0.0,0.0,0.0
Rprec,enwiki:Antibiotics/History/Etymology,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/History/Etymology,0.0,0.0,0.0,0.0,0.0
P_20,enwiki:Antibiotics/History/Etymology,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/History/Etymology,0.0,0.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/History/Etymology,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Interactions/Alcohol,0.7,0.8333,-0.13330000000000009,0.13330000000000009,0.13330000000000009
Rprec,enwiki:Antibiotics/Interactions/Alcohol,0.5,0.5,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Interactions/Alcohol,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Antibiotics/Interactions/Alcohol,0.1,0.1,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Interactions/Alcohol,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Interactions/Alcohol,0.8503,0.9197,-0.06940000000000002,0.06940000000000002,0.06940000000000002
map,enwiki:Antibiotics/Interactions/Birth%20control%20pills,1.0,1.0,0.0,0.0,0.0
Rprec,enwiki:Antibiotics/Interactions/Birth%20control%20pills,1.0,1.0,0.0,0.0,0.0
